101,2,0,1.67,-1293.77
101,5,1,1.88,-1291.89
101,5,0,6.63,-1285.26
101,4,0,1.77,-1283.49
101,5,1,1.25,-1282.24
101,4,1,18.89,-1263.35
101,5,1,5.06,-1258.29
101,5,0,8.82,-1249.47
101,4,1,2.12,-1247.35
101,4,1,8.45,-1238.9
101,5,0,6.09,-1232.81
101,4,1,1.68,-1231.13
101,3,1,5.65,-1225.48
101,4,0,3.99,-1221.49
101,5,1,1.86,-1219.63
101,4,1,7.29,-1212.34
101,5,0,4.29,-1208.05
101,4,0,1.79,-1206.26
101,3,0,2.27,-1203.99
101,2,0,1.4,-1202.59
101,5,0,1.99,-1200.6
101,4,0,2.42,-1198.18
101,5,1,1.71,-1196.47
101,5,0,7.98,-1188.49
101,4,0,2.3,-1186.19
101,5,1,1.19,-1185
101,5,0,8.76,-1176.24
101,2,0,3.34,-1172.9
101,3,0,1.81,-1171.09
101,4,0,3.28,-1167.81
101,5,1,2.13,-1165.68
101,5,0,0.01,-1165.67
101,4,0,3.92,-1161.75
101,3,0,2.53,-1159.22
101,2,0,1.03,-1158.19
101,5,1,4.62,-1153.57
101,4,0,2.81,-1150.76
101,5,1,1.12,-1149.64
101,4,0,6.22,-1143.42
101,3,0,2.33,-1141.09
101,2,1,1.06,-1140.03
101,5,1,4.31,-1135.72
101,4,0,4.22,-1131.5
101,3,0,1.55,-1129.95
101,2,0,1.27,-1128.68
101,5,0,2.49,-1126.19
101,4,1,1.3,-1124.89
101,4,0,5.02,-1119.87
101,5,0,1.83,-1118.04
101,3,0,1.84,-1116.2
101,2,0,1.07,-1115.13
101,5,1,1.48,-1113.65
101,4,0,4.31,-1109.34
101,5,0,1.15,-1108.19
101,4,0,1.17,-1107.02
101,3,0,1.93,-1105.09
101,5,0,2.72,-1102.37
101,5,0,1.41,-1100.96
101,3,0,4.42,-1096.54
101,2,0,4,-1092.54
101,5,1,2.97,-1089.57
101,4,1,3.25,-1086.32
101,4,0,4.92,-1081.4
101,3,0,1.48,-1079.92
101,2,0,1.36,-1078.56
101,5,1,1.56,-1077
101,4,0,3.9,-1073.1
101,5,0,1.11,-1071.99
101,2,0,2.55,-1069.44
101,3,0,1.16,-1068.28
101,4,0,3.12,-1065.16
101,5,0,1.67,-1063.49
101,5,0,5.41,-1058.08
101,3,0,6.61,-1051.47
101,2,0,1.03,-1050.44
101,5,0,1.61,-1048.83
101,5,0,1.69,-1047.14
101,5,0,1.34,-1045.8
101,4,0,2.21,-1043.59
101,4,0,1.75,-1041.84
101,3,1,1.37,-1040.47
101,5,0,3.24,-1037.23
101,4,0,1.44,-1035.79
101,2,0,2.5,-1033.29
101,3,0,1.21,-1032.08
101,4,0,1.65,-1030.43
101,5,1,2.23,-1028.2
101,4,0,3.32,-1024.88
101,4,0,2.16,-1022.72
101,3,1,2.21,-1020.51
101,5,0,3.3,-1017.21
101,4,0,1.43,-1015.78
101,3,0,4.26,-1011.52
101,2,0,1.52,-1010
101,5,0,1.83,-1008.17
101,4,0,1.53,-1006.64
101,3,0,4.18,-1002.46
101,2,0,1.02,-1001.44
101,2,0,7.34,-994.1
101,5,0,1.44,-992.66
101,5,1,4.22,-988.44
101,4,1,3.48,-984.96
101,4,0,4.38,-980.58
101,5,1,1.66,-978.92
101,4,0,4.71,-974.21
101,4,0,2.05,-972.16
101,2,0,2.58,-969.58
101,3,0,1.2,-968.38
101,4,1,1.75,-966.63
101,4,0,3.11,-963.52
101,5,1,1.53,-961.99
101,4,0,2.5,-959.49
101,3,1,2.29,-957.2
101,5,0,8.29,-948.91
101,4,0,1.09,-947.82
101,3,0,1.58,-946.24
101,2,0,1.04,-945.2
101,5,0,2.27,-942.93
101,4,0,1.93,-941
101,5,0,2.37,-938.63
101,5,1,1.96,-936.67
101,4,0,3,-933.67
